Date : 2025-10-22 17:04:42
Directory : /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge
Total : 272 files,  71952 codes, 23174 comments, 17901 blanks, all 113027 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| _deps/googletest-src/docs/_sass                                                                                                                                      |          1 |        161 |          3 |         37 |        201 |
| _deps/googletest-src/docs/assets                                                                                                                                     |          1 |          4 |          0 |          2 |          6 |
| _deps/googletest-src/docs/assets/css                                                                                                                                 |          1 |          4 |          0 |          2 |          6 |
| _deps/googletest-src/docs/reference                                                                                                                                  |          5 |      2,207 |          1 |        996 |      3,204 |
| _deps/googletest-src/googlemock                                                                                                                                      |         53 |     23,972 |      7,492 |      5,453 |     36,917 |
| _deps/googletest-src/googlemock (Files)                                                                                                                              |          2 |        205 |          0 |         47 |        252 |
| _deps/googletest-src/googlemock/docs                                                                                                                                 |          1 |          3 |          0 |          2 |          5 |
| _deps/googletest-src/googlemock/include                                                                                                                              |         16 |      7,753 |      3,920 |      1,620 |     13,293 |
| _deps/googletest-src/googlemock/include/gmock                                                                                                                        |         16 |      7,753 |      3,920 |      1,620 |     13,293 |
| _deps/googletest-src/googlemock/include/gmock (Files)                                                                                                                |          9 |      7,258 |      3,530 |      1,493 |     12,281 |
| _deps/googletest-src/googlemock/include/gmock/internal                                                                                                               |          7 |        495 |        390 |        127 |      1,012 |
| _deps/googletest-src/googlemock/include/gmock/internal (Files)                                                                                                       |          3 |        473 |        324 |        109 |        906 |
| _deps/googletest-src/googlemock/include/gmock/internal/custom                                                                                                        |          4 |         22 |         66 |         18 |        106 |
| _deps/googletest-src/googlemock/src                                                                                                                                  |          7 |      1,186 |        627 |        221 |      2,034 |
| _deps/googletest-src/googlemock/test                                                                                                                                 |         27 |     14,825 |      2,945 |      3,563 |     21,333 |
| _deps/googletest-src/googletest                                                                                                                                      |        143 |     35,103 |     15,364 |      8,621 |     59,088 |
| _deps/googletest-src/googletest (Files)                                                                                                                              |          2 |        447 |          0 |        116 |        563 |
| _deps/googletest-src/googletest/docs                                                                                                                                 |          1 |          3 |          0 |          2 |          5 |
| _deps/googletest-src/googletest/include                                                                                                                              |         24 |      6,558 |      5,035 |      1,770 |     13,363 |
| _deps/googletest-src/googletest/include/gtest                                                                                                                        |         24 |      6,558 |      5,035 |      1,770 |     13,363 |
| _deps/googletest-src/googletest/include/gtest (Files)                                                                                                                |         12 |      3,147 |      3,010 |        906 |      7,063 |
| _deps/googletest-src/googletest/include/gtest/internal                                                                                                               |         12 |      3,411 |      2,025 |        864 |      6,300 |
| _deps/googletest-src/googletest/include/gtest/internal (Files)                                                                                                       |          8 |      3,374 |      1,924 |        838 |      6,136 |
| _deps/googletest-src/googletest/include/gtest/internal/custom                                                                                                        |          4 |         37 |        101 |         26 |        164 |
| _deps/googletest-src/googletest/samples                                                                                                                              |         18 |        763 |      1,009 |        295 |      2,067 |
| _deps/googletest-src/googletest/src                                                                                                                                  |         12 |      8,178 |      2,904 |      1,741 |     12,823 |
| _deps/googletest-src/googletest/test                                                                                                                                 |         86 |     19,154 |      6,416 |      4,697 |     30,267 |
| _deps/googletest-subbuild                                                                                                                                            |          2 |        107 |         46 |         53 |        206 |
| apps                                                                                                                                                                 |          4 |        198 |          0 |         33 |        231 |
| include                                                                                                                                                              |         12 |        247 |          4 |         85 |        336 |
| include/ray_tracer                                                                                                                                                   |         12 |        247 |          4 |         85 |        336 |
| include/ray_tracer/demo                                                                                                                                              |          1 |         17 |          0 |          6 |         23 |
| include/ray_tracer/geometry                                                                                                                                          |          2 |         30 |          0 |         10 |         40 |
| include/ray_tracer/img                                                                                                                                               |          2 |         50 |          1 |         19 |         70 |
| include/ray_tracer/lighting                                                                                                                                          |          2 |         29 |          0 |         12 |         41 |
| include/ray_tracer/math                                                                                                                                              |          5 |        121 |          3 |         38 |        162 |
| src                                                                                                                                                                  |          9 |        353 |          3 |         77 |        433 |
| src/geometry                                                                                                                                                         |          2 |         57 |          0 |         16 |         73 |
| src/img                                                                                                                                                              |          1 |         55 |          3 |         11 |         69 |
| src/lighting                                                                                                                                                         |          2 |         44 |          0 |         10 |         54 |
| src/math                                                                                                                                                             |          4 |        197 |          0 |         40 |        237 |
| tests                                                                                                                                                                |         11 |        728 |          4 |        137 |        869 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                             | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/CMakeLists.txt                                                                                     | CMake        |         60 |          0 |          5 |         65 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/README.md                                                                                          | Markdown     |          1 |          0 |          1 |          2 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-build/Makefile                                                                    | Makefile     |        102 |         51 |         48 |        201 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-build/googlemock/Makefile                                                         | Makefile     |        156 |         63 |         66 |        285 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-build/googletest/Makefile                                                         | Makefile     |        156 |         63 |         66 |        285 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/.github/ISSUE_TEMPLATE/00-bug_report.yml                                      | YAML         |         53 |          0 |          1 |         54 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/.github/ISSUE_TEMPLATE/10-feature_request.yml                                 | YAML         |         33 |          0 |          1 |         34 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/.github/ISSUE_TEMPLATE/config.yml                                             | YAML         |          5 |          0 |          1 |          6 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/CMakeLists.txt                                                                | CMake        |         28 |          0 |          9 |         37 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/CONTRIBUTING.md                                                               | Markdown     |        107 |          0 |         35 |        142 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/README.md                                                                     | Markdown     |        100 |          0 |         34 |        134 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/ci/linux-presubmit.sh                                                         | Shell Script |        113 |         35 |         10 |        158 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/ci/macos-presubmit.sh                                                         | Shell Script |         39 |         34 |          8 |         81 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/ci/windows-presubmit.bat                                                      | Batch        |         54 |          9 |         13 |         76 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/_config.yml                                                              | YAML         |          1 |          0 |          1 |          2 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/_data/navigation.yml                                                     | YAML         |         43 |          0 |          1 |         44 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/_layouts/default.html                                                    | HTML         |         57 |          0 |          2 |         59 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/_sass/main.scss                                                          | SCSS         |        161 |          3 |         37 |        201 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/advanced.md                                                              | Markdown     |      1,953 |          0 |        514 |      2,467 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/assets/css/style.scss                                                    | SCSS         |          4 |          0 |          2 |          6 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/community_created_documentation.md                                       | Markdown     |          5 |          0 |          3 |          8 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/faq.md                                                                   | Markdown     |        508 |          0 |        151 |        659 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/gmock_cheat_sheet.md                                                     | Markdown     |        181 |          0 |         61 |        242 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/gmock_cook_book.md                                                       | Markdown     |      3,485 |          2 |        926 |      4,413 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/gmock_faq.md                                                             | Markdown     |        301 |          0 |         90 |        391 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/gmock_for_dummies.md                                                     | Markdown     |        568 |          0 |        135 |        703 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/index.md                                                                 | Markdown     |         19 |          0 |          4 |         23 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/pkgconfig.md                                                             | Markdown     |        111 |          0 |         34 |        145 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/platforms.md                                                             | Markdown     |          7 |          0 |          2 |          9 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/primer.md                                                                | Markdown     |        372 |          0 |        111 |        483 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/quickstart-bazel.md                                                      | Markdown     |        114 |          0 |         33 |        147 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/quickstart-cmake.md                                                      | Markdown     |        120 |          0 |         38 |        158 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/actions.md                                                     | Markdown     |         91 |          0 |         26 |        117 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/assertions.md                                                  | Markdown     |        454 |          0 |        187 |        641 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/matchers.md                                                    | Markdown     |        249 |          0 |         57 |        306 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/mocking.md                                                     | Markdown     |        435 |          0 |        154 |        589 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/reference/testing.md                                                     | Markdown     |        978 |          1 |        572 |      1,551 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/docs/samples.md                                                               | Markdown     |         20 |          0 |          3 |         23 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/CMakeLists.txt                                                     | CMake        |        175 |          0 |         36 |        211 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/README.md                                                          | Markdown     |         30 |          0 |         11 |         41 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/docs/README.md                                                     | Markdown     |          3 |          0 |          2 |          5 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-actions.h                                      | C++          |      1,260 |        846 |        299 |      2,405 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-cardinalities.h                                | C++          |         52 |         75 |         33 |        160 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-function-mocker.h                              | C++          |        393 |         53 |         74 |        520 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-matchers.h                                     | C++          |      3,787 |      1,412 |        693 |      5,892 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-more-actions.h                                 | C++          |        468 |        161 |         31 |        660 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-more-matchers.h                                | C++          |         44 |         57 |         20 |        121 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-nice-strict.h                                  | C++          |        156 |         85 |         37 |        278 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock-spec-builders.h                                | C++          |      1,077 |        776 |        294 |      2,147 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/gmock.h                                              | C++          |         21 |         65 |         12 |         98 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/custom/README.md                            | Markdown     |         13 |          0 |          6 |         19 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/custom/gmock-generated-actions.h            | C++          |          3 |          2 |          3 |          8 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/custom/gmock-matchers.h                     | C++          |          3 |         31 |          4 |         38 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/custom/gmock-port.h                         | C++          |          3 |         33 |          5 |         41 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/gmock-internal-utils.h                      | C++          |        240 |        183 |         62 |        485 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/gmock-port.h                                | C++          |         68 |         52 |         21 |        141 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/include/gmock/internal/gmock-pp.h                                  | C++          |        165 |         89 |         26 |        280 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-all.cc                                                   | C++          |          6 |         37 |          4 |         47 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-cardinalities.cc                                         | C++          |         88 |         43 |         25 |        156 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-internal-utils.cc                                        | C++          |        160 |         72 |         27 |        259 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-matchers.cc                                              | C++          |        284 |        164 |         31 |        479 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-spec-builders.cc                                         | C++          |        522 |        181 |         90 |        793 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock.cc                                                       | C++          |         99 |         90 |         37 |        226 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock_main.cc                                                  | C++          |         27 |         40 |          7 |         74 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-actions_test.cc                                         | C++          |      1,499 |        344 |        391 |      2,234 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-cardinalities_test.cc                                   | C++          |        286 |         49 |         90 |        425 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-function-mocker_test.cc                                 | C++          |        739 |         78 |        182 |        999 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-internal-utils_test.cc                                  | C++          |        550 |         96 |        121 |        767 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers-arithmetic_test.cc                             | C++          |      1,159 |        254 |        287 |      1,700 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers-comparisons_test.cc                            | C++          |      1,844 |        261 |        392 |      2,497 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers-containers_test.cc                             | C++          |      2,586 |        292 |        569 |      3,447 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers-misc_test.cc                                   | C++          |      1,419 |        175 |        289 |      1,883 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers_test.h                                         | C++          |        127 |         40 |         26 |        193 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-more-actions_test.cc                                    | C++          |      1,184 |        181 |        253 |      1,618 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-nice-strict_test.cc                                     | C++          |        351 |         79 |        112 |        542 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-port_test.cc                                            | C++          |          3 |         34 |          6 |         43 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-pp-string_test.cc                                       | C++          |        147 |         36 |         23 |        206 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-pp_test.cc                                              | C++          |         73 |          3 |          8 |         84 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-spec-builders_test.cc                                   | C++          |      1,793 |        349 |        458 |      2,600 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_all_test.cc                                             | C++          |         12 |         36 |          2 |         50 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_ex_test.cc                                              | C++          |         33 |         37 |         11 |         81 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_leak_test.py                                            | Python       |         63 |         36 |         15 |        114 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_leak_test_.cc                                           | C++          |         36 |         42 |         22 |        100 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_link2_test.cc                                           | C++          |          2 |         33 |          4 |         39 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_link_test.cc                                            | C++          |          2 |         33 |          4 |         39 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_link_test.h                                             | C++          |        410 |        167 |        117 |        694 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_output_test.py                                          | Python       |         73 |        110 |          8 |        191 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_output_test_.cc                                         | C++          |        184 |         38 |         65 |        287 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_stress_test.cc                                          | C++          |        132 |         55 |         41 |        228 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_test.cc                                                 | C++          |         97 |         34 |         49 |        180 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_test_utils.py                                           | Python       |         21 |         53 |         18 |         92 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/CMakeLists.txt                                                     | CMake        |        274 |          0 |         57 |        331 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/README.md                                                          | Markdown     |        173 |          0 |         59 |        232 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/docs/README.md                                                     | Markdown     |          3 |          0 |          2 |          5 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-assertion-result.h                             | C++          |         65 |        151 |         29 |        245 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-death-test.h                                   | C++          |         69 |        244 |         33 |        346 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-matchers.h                                     | C++          |        552 |        244 |        128 |        924 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-message.h                                      | C++          |         87 |        134 |         31 |        252 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-param-test.h                                   | C++          |        171 |        388 |         44 |        603 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-printers.h                                     | C++          |        786 |        323 |        128 |      1,237 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-spi.h                                          | C++          |        110 |        114 |         27 |        251 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-test-part.h                                    | C++          |         81 |         73 |         39 |        193 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-typed-test.h                                   | C++          |        149 |        139 |         44 |        332 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest.h                                              | C++          |        925 |      1,052 |        362 |      2,339 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest_pred_impl.h                                    | C++          |        147 |         98 |         35 |        280 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest_prod.h                                         | C++          |          5 |         50 |          6 |         61 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/custom/README.md                            | Markdown     |         28 |          0 |         17 |         45 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/custom/gtest-port.h                         | C++          |          3 |         32 |          3 |         38 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/custom/gtest-printers.h                     | C++          |          3 |         37 |          3 |         43 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/custom/gtest.h                              | C++          |          3 |         32 |          3 |         38 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-death-test-internal.h                 | C++          |        159 |        102 |         46 |        307 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-filepath.h                            | C++          |         62 |        132 |         40 |        234 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-internal.h                            | C++          |        875 |        424 |        219 |      1,518 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-param-util.h                          | C++          |        701 |        222 |        142 |      1,065 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-port-arch.h                           | C++          |         85 |         35 |          5 |        125 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h                                | C++          |      1,333 |        826 |        328 |      2,487 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-string.h                              | C++          |         39 |        111 |         29 |        179 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-type-util.h                           | C++          |        120 |         72 |         29 |        221 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/prime_tables.h                                             | C++          |         58 |         46 |         22 |        126 |
| /Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample1.cc                                                 | C++          |         17 |         39 |         11 |         67 |
